Item Name,Date,Bhiwandi,Vijayawada,SECUNDERABAD,Ranchi,RAIPUR,Patna,Nagpur,Pune,Madurai,LUCKNOW,Kolkata,Indore,GUWAHATI,Coimbatore,Cochin,Chennai,Cuttack,Bangalore,AHMEDABAD,Jalandhar,Jaipur,Ghaziabad,Delhi,Chandigarh,BOX
ACGEI-RD,M_15th,30.0,0.0,34.0,0.0,0.0,10.0,0.0,0.0,137.0,8.0,78.0,11.0,0.0,84.0,34.0,0.0,0.0,0.0,0.0,5.0,40.0,20.0,16.0,0.0,12.0
ASWH450-IVY,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AVRPMAD48COCO,M_15th,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,113.0,0.0,100.0,0.0,10.0,2.0
BRISKAIR6HSBLKN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIR6HSBRNN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIR6HSWHTN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BRISKAIR8HSIVYN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIR8HSWHTN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BRISKAIRPLUS6BRN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
BRISKAIRPLUS6IVY,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BRISKAIRPLUS8WHT,M_15th,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
BRIZ42BRN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
BRIZDEC48IVY,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
DVN48RBN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
EXHD300-6-1,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,97.0,0.0,1.0
EXHD450-4-3,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EXHD600-6-1,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0
EXHD600-6-3,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0
HS42OPW,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HS42OPW,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HS48OPW,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,4.0
LRN48HGD,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
RIVDASHHS4BRN,M_15th,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RIVDASHHS4IVY,M_15th,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RIVDASHHS6BRN,M_15th,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RIVDASHHS6IVY,M_15th,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
RIVDASHHS6WHT,M_15th,8.0,0.0,21.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,6.0
RIVSPRINTHS6WHT,M_15th,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,6.0,3.0,8.0,0.0,8.0,6.0
S-90000319,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000343,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000365,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000366,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000391,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000392,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000408,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000510,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000512,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000666,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000667,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000672,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000680,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000681,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000682,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000687,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000688,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000691,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000693,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000694,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000696,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000698,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000700,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000710,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000714,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000765,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000769,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000787,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000794,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000800,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000807,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000809,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000814,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000821,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001352,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001532,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001533,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001593,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001595,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001622,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90002591,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90002610,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
TA6AG,M_15th,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
AURA48IVYDLX,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AVR48SWT,M_15th,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,72.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AVRPRIME48NWD,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
HS36BRN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,91.0,0.0,0.0,32.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
PVNDEC48LB,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
S-90000515,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000516,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000530,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000531,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000604,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000612,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001030,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001611,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001612,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001774,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90002597,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
TRIT48ACR,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,30.0,14.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,47.0,18.0,0.0,39.0,2.0
ACGJMG-RJPLUS,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AURA48BRNDLX,M_15th,0.0,0.0,54.0,12.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,4.0,47.0,58.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
AXIALAIR4WHT,M_15th,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,20.0
EXHD300-4-1,M_15th,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FLY48SWT,M_15th,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
HS56OPW,M_15th,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
S-90000329,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000601,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000987,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001620,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90002572,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
SMART48IVY,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
STAR22048WHT,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0
STAR22048WHT,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0
ACGEI-ED PLUS,M_15th,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ACGEI-HDC,M_15th,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
ACGIC-CREST,M_15th,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
ACGM-DS51,M_15th,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ACGM-DXT PLUS,M_15th,0.0,0.0,0.0,10.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ACGM-FROSTY LITE,M_15th,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ACGM-MANGO LITE,M_15th,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ACGM-TD71,M_15th,0.0,0.0,0.0,10.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ACGM-VX,M_15th,0.0,0.0,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
ACGVS-100VAC,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ALBRIZ48OPW,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
BRIZ24OPW,M_15th,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0
FLUXAIR9OPW,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HS48BRN,M_15th,0.0,0.0,0.0,17.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0
HS56BRN,M_15th,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
HSDCR48BRN,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
RIV48BRN,M_15th,0.0,0.0,0.0,6.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
RIV48OPW,M_15th,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
S-90001602,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
AURA48NEWWHT,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
EXHD450-6-1,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
EXHD900-8-3,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S-90000111,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000321,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000322,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000327,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000387,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000400,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000402,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90000579,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001246,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001269,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90001839,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-90002048,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
S-KDAST48BRN,M_15th,,,,,,,,,,,,,,,,,,,,,,,,,
VENTILUS10WHT,M_15th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
